Formatted Date,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Precip Type,Summary
2006-03-31 22:00:00+00:00,9.47222222222222,7.388888888888888,0.89,14.1197,rain,Partly Cloudy
2006-03-31 23:00:00+00:00,9.355555555555558,7.227777777777776,0.86,14.2646,rain,Partly Cloudy
2006-04-01 00:00:00+00:00,9.377777777777778,9.377777777777778,0.89,3.9284,rain,Mostly Cloudy
2006-04-01 01:00:00+00:00,8.28888888888889,5.944444444444446,0.8300000000000001,14.1036,rain,Partly Cloudy
2006-04-01 02:00:00+00:00,8.755555555555553,6.977777777777779,0.8300000000000001,11.0446,rain,Mostly Cloudy
2006-04-01 03:00:00+00:00,9.22222222222222,7.11111111111111,0.85,13.9587,rain,Partly Cloudy
2006-04-01 04:00:00+00:00,7.733333333333334,5.522222222222221,0.9500000000000001,12.3648,rain,Partly Cloudy
2006-04-01 05:00:00+00:00,8.77222222222222,6.527777777777778,0.89,14.1519,rain,Partly Cloudy
2006-04-01 06:00:00+00:00,10.82222222222222,10.82222222222222,0.8200000000000001,11.3183,rain,Partly Cloudy
2006-04-01 07:00:00+00:00,13.77222222222222,13.77222222222222,0.72,12.5258,rain,Partly Cloudy
2006-04-01 08:00:00+00:00,16.016666666666666,16.016666666666666,0.67,17.5651,Unknown,Partly Cloudy
2006-04-01 09:00:00+00:00,17.144444444444446,17.144444444444446,0.54,19.7869,rain,Partly Cloudy
2006-04-01 10:00:00+00:00,17.800000000000004,17.800000000000004,0.55,21.9443,rain,Partly Cloudy
2006-04-01 11:00:00+00:00,17.333333333333332,17.333333333333332,0.51,20.6885,rain,Partly Cloudy
2006-04-01 12:00:00+00:00,18.87777777777778,18.87777777777778,0.47000000000000003,15.3755,rain,Partly Cloudy
2006-04-01 13:00:00+00:00,18.911111111111115,18.911111111111115,0.46,10.4006,rain,Partly Cloudy
2006-04-01 14:00:00+00:00,15.38888888888889,15.38888888888889,0.6000000000000001,14.4095,rain,Partly Cloudy
